하하,0.47,0.14,기쁨
행복,0.68,0.2,기쁨
허무,-0.48,-0.58,슬픔
허전,-0.48,-0.44,슬픔
허탈,-0.54,-0.58,슬픔
허허,0.41,-0.01,기쁨
헉,0.01,0.56,놀람
후련,0.71,-0.35,기쁨
후회,-0.6,-0.25,슬픔
훌륭,0.61,0.54,기쁨
흉측,-0.9,0.145,혐오
흐뭇,0.64,0.21,기쁨
흐흐,0.51,0.34,기쁨
흑흑,-0.46,-0.13,슬픔
흠칫,0,0.4,놀람
흥미,0.352,0.16,흥미
흥분,-0.63,0.56,분노
히히,0.54,0.44,기쁨
가볍,0.15,0.02,기쁨 중성
감명깊,0.54,0.18,기쁨 흥미
거슬,-0.66,0.19,혐오 분노
구차,-0.71,-0.095,혐오 슬픔
난감,-0.25,0.41,놀람 기타
낯뜨겁,-0.18,0.35,기타 놀람
매력적,0.44,0.29,기쁨 흥미
맥빠지,-0.38,-0.48,지루 슬픔
못마땅,-0.75,0.15,분노 혐오
민망,-0.14,0.33,기타 놀람
불편,-0.34,0.14,지루 통증
빈정거리,-0.57,0.29,분노 혐오
스릴,0.48,0.65,흥미 공포
싫,-0.83,0.18,혐오 분노
신선,0.33,0.24,기쁨 흥미
아니꼽,-0.71,0.26,분노 혐오
아으,-0.35,0.7,놀람 공포
야비,-0.78,0.29,분노 혐오
억울,-0.71,-0.01,슬픔 분노
오그,-0.48,0.02,기타 혐오
우습,-0.55,0.19,혐오 기쁨
정떨,-0.79,0.04,혐오 분노
조바심,-0.5,0.48,공포 기타
짜릿,0.55,0.59,흥미 기쁨
쩔쩔,-0.53,0.3,슬픔 공포
아하,0.21,0.01,놀람 흥미 기쁨
수치,-0.82,0.24,분노 슬픔 혐오
가관,-0.68,0.2,혐오
가뿐,0.46,0.28,기쁨
가슴아프,-0.73,-0.21,슬픔
가슴앓,-0.71,-0.19,슬픔
가엾,-0.56,-0.22,슬픔
갑작,-0.04,0.51,놀람
개쌍년,-0.86,0.6,분노
개자식,-0.79,0.49,분노
겁,-0.6,0.39,공포
고달프다,-0.58,-0.43,슬픔
고맙,0.53,0.11,기쁨
공포감,-0.63,0.67,공포
공허,-0.5,-0.39,슬픔
괘씸,-0.72,0.28,분노
구역질,-0.87,0.09,혐오
궁금,0.28,0.11,흥미
그년,-0.8,0.45,분노
기묘,-0.16,0.46,놀람
기분나쁘,-0.64,0.25,분노
기진맥진,-0.34,-0.66,통증
긴박,-0.34,0.55,공포
꺼림칙,-0.75,0.1,혐오
껄껄껄,0.64,0.33,기쁨
낄끼,0.68,0.38,기쁨
나쁘,-0.63,0.24,분노
낙담,-0.55,-0.34,슬픔
난처,-0.5,-0.03,슬픔
낭만,0.68,0.36,기쁨
노파심,-0.26,0.13,기타
니미,-0.94,0.72,분노
달갑,0.53,0.28,기쁨
당혹,-0.08,0.48,놀람
더럽,-0.9,0.08,혐오
두근,0.63,0.36,기쁨
따뜻,0.73,-0.25,기쁨
따스,0.38,-0.29,기쁨
만만찮,-0.08,0.57,놀람
만족,0.76,-0.24,기쁨
못되,-0.54,0.23,분노
무섭,-0.56,0.69,공포
무안,-0.11,-0.04,기타
뭉클,-0.58,-0.11,슬픔
미안,-0.54,-0.25,슬픔
밉,-0.56,0.22,분노
반갑,0.54,0.19,기쁨
버럭,-0.48,0.28,분노
복받치다,-0.63,-0.25,슬픔
부러워,0.24,0.17,흥미
분,-0.64,0.29,분노
불안정,-0.45,0.56,공포
비참,-0.68,-0.32,슬픔
빌어먹,-0.67,0.3,분노
상실감,-0.56,-0.38,슬픔
속상,-0.58,-0.2,슬픔
슬퍼,-0.7,-0.22,슬픔
신나,0.72,0.54,기쁨
신비,0.34,0.15,흥미
실망,-0.54,-0.15,슬픔
싫,-0.3,-0.52,지루함
심술,-0.68,0.23,분노
싱글벙글,0.74,0.48,기쁨
쌍년,-0.86,0.52,분노
쌍놈,-0.86,0.5,분노
쓸쓸,-0.53,-0.24,슬픔
씨부렁,-0.55,0.29,분노
아뿔싸,-0.06,0.5,놀람
앗,-0.31,0.15,통증
아찔,-0.41,0.55,공포
아프다,-0.31,0.21,통증
아하하,0.64,0.66,기쁨
안절부절,-0.52,0.65,공포
애도,-0.56,-0.12,슬픔
애처롭,-0.6,-0.15,슬픔
얼떨떨,0.02,0.51,놀람
얼씨구,0.67,0.48,기쁨
역겹,-0.87,0.2,혐오
옘병,-0.6,0.41,분노
외톨이,-0.64,-0.28,슬픔
울며불며,-0.73,-0.13,슬픔
울화통,-0.78,0.45,분노
웃,0.55,0.56,기쁨
웃음거리,-0.58,0.31,분노
으쓱,0.63,0.73,기쁨
으앙,-0.67,-0.03,슬픔
자부,0.52,0.6,기쁨
자책,-0.78,-0.02,슬픔
자포자기,-0.63,-0.24,슬픔
잔인,-0.48,0.7,공포
잡놈,-0.74,0.39,분노
저년,-0.8,0.48,분노
절규,-0.63,-0.44,슬픔
절박,-0.66,-0.35,슬픔
제기랄,-0.8,0.37,분노
조심스럽,-0.06,-0.03,중성
증오,-0.88,0.34,분노
지끈거리,-0.35,0.26,통증
지독,-0.8,0.26,혐오
징그럽,-0.77,0.18,혐오
쭈뼛,-0.39,0.45,기타
찜찜,-0.59,0.13,혐오
찡하다,-0.59,-0.04,슬픔
착잡,-0.52,-0.2,슬픔
처절,-0.61,-0.4,슬픔
충동적,0.28,0.18,흥미
치밀어오르,-0.74,0.41,분노
친근,0.58,0.34,기쁨
친숙,0.6,0.37,기쁨
한스럽,-0.7,-0.08,슬픔
한탄,-0.63,-0.19,슬픔
후후,0.54,0.5,기쁨
휑,-0.45,-0.16,슬픔
휘둥그레,0.06,0.56,놀람
흡족,0.48,0.4,기쁨
