노신티를 팍팍네네 안전하다 이거지?,
찜빵닮은 똥들은찜빵,
미친 망아지 2마리가 날뛰고 한나라를 말아먹네 결국엔 외국으로 도망까지 빨리 잡아서 죄가있으면 죄값치르게하고 만약 못잡으면 여권.비자 말소시키고 한국에 옷들어오게 외국에서 불법체류자로 떠돌게해야됨 대통령도 20년지인라고 하는데 눈감고 귀막고 최순실 너무 믿어서 이꼴이 난건아닐까 최필녀 ~ 최순실 ~최서원 이름을 보통사람들은 평생가도 1번 바꿀가 말까하는데 최순실이는 이름을 세번이나 바꿀수 있는 지 한숨만 나오네 최순실 아버지 최태민이가 이모든사단의 원흉이다,
조선민주주의인민공화국이 딴 데 있는 게 아니었다... 진정 빨갱이 집단과 맞서는 대한민국 민주공화국이 맞냐?,
새누리당 놈들아 더 감싸봐라.,
애낳고 산후조리했나?애아빠는 또 어떤 늠 인지?참 실망스럽다그래놓고도 주둥이 살아있다고나불대냐?,
모자이크는 말한테 해줘라.말 불쌍하다,
"승마협회,삼성,kt여기도 조사해라",
정관계 유력한 정치인 아버지 자식인듯.딸을 보험삼아 마랴.,
승마협회란데가 최순실 꼬봉노릇 하는 곳인데 공문이 뭔 의미?.걍 제적처리하고 중졸로 만들어,
애낳기 바빳을건데 학교갈 시간이 어딨어.,
귀신이 안잡아가나??!!!,
역시 학교는 필요가 없군,
부모 능력있어 도망자 신세 됐네 좋겠다,
말농장 이나해라. 이제 말이나키우고.말밥이나주면서 검정고시보면되겟구만.,
독일가서 거시기 보여줄라고 갔지,
근친아닐까????멍청한 정도가 너무심해,
최순실이 재산형성 과정을 추적해라 정윤회까지도...박정희에게 세뇌당한 망령들아 제발저승으로 빨리가라,
그게 뭔짓들인지?온통 나라가 말이 아니구먼~~/,
인생 참 지져분하게 사냐.....,
중학교도 까봐라. 국졸일 수도 있다,
이런게 서민 울리는 거야 이것들아적어도 공평은 해야 서민들도 경쟁에서 이기지적어도 선수가 시합장에는 나와야 이기고 지는거지나쁜놈들,
따지고보면 중졸 이네??ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎOOO,
더럽다 이나라 꼬라지가,
학교끝나고 벌리면 되지뭘그리 허벌나게 허벌버렸데 깔깔깔,
까도 까도 계속 더러운 꾸중물만 나오네,
타라는 말은 안타고 엄한놈만 탔네그려,
ㅋㅋ 요즘 대세가 승마라는데 모든게 용서되는 승마 ㅋㅋ,
《대한민국》이라면..고등학교 자퇴처리해라~!!,
"하지만 1,2학년 때 상황은 조사하지 않았다”고 말했다.",
아니 정식으로 얼굴 다 까야지..선수협회들어가면 얼굴 다 나오는데요??? 신문사들도 겉핥기 그만하고 본론으로 파헤치세요,
꼭 승마협회도 수사해라!,
정유라 애가 지금1살...남자는 동갑이든가??1살 많던가..그 집안도 지금 쉬쉬한다는데..한몫 잡으려고,
지나가는 여대생을 붙잡아 놓고 .... 대령 중령 소령은 ...... 불쌍하다 이등병은 쭈쭈바 껍데기,
좋겠다 저리 살아도 돼고 저리 살고 욕 먹어도 우리 보다 잘 살잖아 우리 끼리 ㅂㄷㅂㄷ 해보니 뭐하나,
