33,사람이 죽었는데...40년??400년이 아니고 4년??오래전부터 조현병 등으로 치룔를 받았왔다면서 병은 하나도 안 나아짐??여자친구도 사귀고 술도 마시는데???
34,남자면 사람죽이고 4년 여자면 누드노출남사진올리고 7일만에검거당해서 포토까지 찍히고 생매장 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
35,어휴..미친 ..그넘의 심신미약 또나왔다... 이놈의나라 참 잘돌아가네.. 술만먹고 하면 심신미약이야..어이구.. 야 누구 맘에 안들고 그러면 술먹고 깽판치면 다해결이네.. 좋은거배운다.. 이러니 범죄가 안없어지지 술먹고하면 무조건 가중처벌을해야지~~ 가중처벌한다그러면 술먹고 해도 안먹었다그럴껄?? 그럼 멀쩡한상태서 지저랄하는거니 더 쓰레기인거고.. 심신미약상태좀 제발없애라~~~
36,기사 제목에 20대男이라고 가해자 성별 기재 안 하는 이유가?
37,와~~우리나라 기똥찬나라사람을 때려 죽였는데 심신미약이라고 고작 4년....판사들 줄줄이 기네스북에 오를일이네
38,사람이 죽었는데 고작 4년? 어이가 없네. 술먹었다고 감형해주고 정신병이라고 감형해주고. 이러니 남자들이 데이트폭력에 마누라폭력해놓고도 개당당하고 반성을 안 하지.
39,ㅋㅋㅋ 이나라는 판검사부터 구속시켜야됨
40,나도 죽이고 싶은 사람생기면 정신병 치료받고 살인해야겠슴 참 답이없는 나라네요 ㅜㅜ
41,심신미약은 파리도 못잡는게 심신미약이고 술먹고 폭행살인하면 살인+음주로 가중처벌해라정신병이있으면 살인형량+정신치료 가중처벌해야지 국회의원들 일 안하냐?
42,동거녀 죽이고 시멘트로 암매장해도 징역 3년 때리는 판사들한테 뭘 바라냐? 알파고 판사만이 답이다!!!
43,아이고~~조현병으로 치료 받고 있는놈을 어떻게 알까??딸가진 부모로써 기가막히다~~힘들게 키워 저런놈한테 죽임당하고 꼴랑4년 살다 나온단다~~부모는 20년 넘게 힘들게 키운거 죽인게 4년 진짜 너무 심했다~~
44,또 심신미약??????
45,심신미약이나 술먹어서잘모른다면 오히려형량을더늘려야한다술을먹지말던지 조현병이면병원에입원해서완전치료받던지 판사가문제다20년때려봐라 그런사건이나는지~
46,여자는 애인 사귀는 것도 죽음을 각오하고 해야 됨?시벌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ형량이라도 제대로 때리던가 심신미약은 무슨 개소리야; 사람 죽이고 싶으면 정신병 걸린 척하고 ㅈㄴ패면 되겠네?
47,살인에 뭔 이유가 필요합니까 기본 20년 이상 정해놓고 가야지
48,이럴수는 없다. 피해자와 피해자 가족들이 받을 고통과 슬픔을 고려한 판결인가? 어떻게 가해자 입장에서 조현병과 심신미약이라는 엿 같은 구실을 붙여 살인을 했는데 4년이 무엇이란 말 인가? 이것같고 죗값을 치르라니 억울하게 맞아죽은 영혼이 구천을 떠돈다. 판사 스키야~~~
49,술먹고 사람죽이면 감형해주네. 와... 미친나라 ㅋㅋ
50,차기 대통령은 어느당이든 중요한게 아니라 사형제도 부활시키고 중범죄 엄중하게 다룬다고 공약걸면 뽑아줄께.. 진짜 총소지 허락되면 이나라 반쯤 뒤져버리겠네.. 개가튼나라
51,한국에서 남자 살기 좋네 여자친구 때리고 아내 때려도 처벌 이정도 수준ㅋㅋ 몰카 찍어도 포토존도 안서고 ㅎㅎ 와~ 살기 편하겠다 ㅎㅎ
52,청원합시다. 이런 미친 법을 봤나
53,판결내린 판사놈을 때려죽이면 몇년 나올까?
54,판사야 니 딸 죽어도 4년 줄꺼야?
55,저 더러운 심신미약이라는 말 좀 안봤으면 좋겠다 술쳐먹고 그랬으면 더 족쳐야 할 거 아냐!!
56,"조현병,심신미약자는 사람 죽여도 된다는 뜻??? 사람을 때려서 죽였는데 4년???저런 비정상적인 인간들은 형량이 더 중해야하며 격리대상 아닌가???재범이 다분한데 참 우리나라 법 갈수록 한심하다.정신병원에 처넣어 나오지 못하도록 하든지 어차피 정상적사회,인간관계가 안되는 인간인데 참 많이들 돌아다니니 어디 불안해서 사람 맘놓고 사귀겠나.."
57,의심받으니까 동영상도 보여주고 실수로 배를 밟았다고 거짓말을 할정도로 정신이 멀쩡한데 심신미약으로 4년? 나도 진짜 싫은사람 있으면 미리 정신과에서 미친짓해서 조현병 진단받은 다음에 사람 죽여야겠다.
58,4년?그 여자는 죽엇는데도?그 부모는 평생 다시는 자기 딸을 볼수도 없눈데 4년?죽은 사람은 이미 죽어서 인권따위는 없다.이건가?범죄자만 보호받는.제정신아닌나라!!
59,뭔놈의 심신미약이냐.. 처음도 아닌 16년부터 상습적인 인간한테.. 저 못된습관은 4년뒤에도 바뀌질 않는다. 딸 잃은 부모 좀 생각해봐라... 공감되는 판결 좀 내려라.
60,이러니까 여자한테 국가는 없다 라는 말이 나오는거다. 내가 이렇게 남자 죽였으면 무조건 10년이상일텐데. 그래 니들끼리 해먹어라. 여기다 세금내는거 아까워서 난 미국갈란다
61,나도. 요즘 심신미약해 죽겠는데 판사 죽여버리고 싶다
62,이~~미치광이 나라는 살인을 해도 4년이니 법치국가라고 하지마라.
63,심신미약 소리좀 그만듣고 싶어
64,"낙태 강요하던 남친 아버지 죽인 여성은 징역 30년, 데이트 폭력으로 살인한 남성은 4년ㅋ"
65,만약 그 숨진 여자의 부모가 4년 후에 그 살인자 때려 죽여도 집행유예 주시길. 자식잃은 부모마음 4년동안의 심신미약 맨정신에는 도저히 안되실테니 술마시고 하실테니 말이다.
66,판사와 재판부에게 묻고싶다 그럼 억울하게 죽은 피해자는 어떻게 보상받아야 하는지?
67,판사 딸이 맞아죽기를 바라봅니다
68,우리나라 법 참 할말이 없다.정상적인 나라에서는 정당방위로 아무 문제없이 풀려날 사람들에게는 어거지 씌어서 말도 안되는 고통을 주면서 악랄한 범죄에 대해선 어처구니없는 선처를 해준다. 법을 교묘하게 이용하면서 범죄를 저지르라고 교육시킨다. 정상적인 나라가 아니다.
69,사람을 죽게했는데 4년? 이 나라는 여자를 사람으로 보기는 하는건가? 이제부터 여자한테 고백하려는 남자는 정신과가서 검진받고 와라 ㅋㅋㅋㅋ
70,"""판결 워런티 제도"" 도입하자. 흉악범죄 저지르고도 집행유예나 솜방망이 판결 받은 놈이 다시 큰사건 저지르면 솜방망이 판결 내린 판사놈에게 불이익 가도록! 싯팔 무슨 게임도 아니고 판결에 책임이 부과되지 않으니까 책임감 있는 판결을 안하잖아! ""판결 워런티 제도"" 도입하자."
71,박이규 부장판사님 사람을 죽였는데 고작 4년이 말이되냐... 미.친 대한민국법 개 좃. 같. 네
72,이나라는 멀고도 멀었다. 일단 판사들부터 썩었다. 진짜 어이가없는 판결이 한두건이 아니다. 법의 기준도 모르겠다. 그냥 말도안될때가 너무많다. 지들 꼴리는대로 판결하고 그걸 법의 공정한 심판인냥 말하는데 얼마전에 데이트폭력으로 억울하게 죽은사람 있는데 가해자놈한테 집행유예 ㅎㅎ 티비에 나온거보니 진짜 가관이더라. 피해자 여성 아버지가 얼마나 서럽게 우시던지.. 진짜 이나라법은 누굴위해 존재함? 피해자? 가해자? 대체 누굴위한법임?
73,다음 대선에 그동안 정지돼있던 사형집행 하겠다는 후보나오면 무조건찍는다.. 국회의원님들 일좀하셔.이런개같은 법좀 바꿔야지요..
74,남의 50년 인생을 뺏앗아가고 4년형이라 헐 이네
75,판사는 술쳐잡숫고 재판 합니까? 살인죄로 40년도 아니고 4년? 이 나라에 정의는 있는겁니까? 미친판결
76,여러분 누구 죽이고 싶은 사람 있으면 심신미약 상태에서 죽이세요~~ 진짜 미치도록 죽이고 싶은 사람을 세상에서 없애 버리고 4년살다 나올 수 있으면 심신미약 상태에서 죽이는 것도 나쁘지 않을거 같네요^^
77,사람을 죽였는데 40년은 있어야 하는거 아닌가요...? 한사람 인생을 끝냈는데....!!!!
78,"달리,개한민국,개소한민국그러겠나??그놈의술과심신미약타령질하면서,무고한생명이죽어없어져도 가해자는보호받는다.개판결때문에."
79,살인범과 남자가 살기좋은 좆민국
80,조현병으로 검진 받고 판사 죽이면 4년형이겠죠?
81,판사는 판결에 책임을 져야한다.4년후에 출소하여 강력범죄를 저지른다면4년형을 판결한 판사도 책임지고 처벌받아라.판결내리고 끝이 아니라 판사도 재범사범에 법적으로 책임지라.
82,독재라도 싱가폴 같은 법치국가에서 살고 싶다.세계 어디라도 살인에 4년 주는 나라는 한국뿐이다. 판사들이 미쳤다!
83,"판사 너 딸이 맞아 죽었어도 이렇게 판결할래? 세상에 맞아 죽었는데 4년이라니? 우리나라는 술먹고 사람 죽이고 성폭력해도 심신 미약으로 말도 않되는 형량을 산다. 판사, 검사 문제 많다."
84,조현병인데 술을 먹은게 죄인거다.우리나라는 술먹고 짓는 죄는 죄가 아니구나
85,판사쉑히 딸내미도 당해봐야 정신을 차리지
86,야 홍대남 몰카했다고 징역5년주는데 사람죽였는데 4년? 4년???
87,살인죄인데 4년이 뭐냐.미국 성폭행 했는데 175년 선고 했다.한국은 판사들이 범죄자 급이다.한국 법은 개법이다.형량을 최소 10배로 높여야 한다
88,이딴 개법 저판사는 지딸이 처죽어도 저럴까 진심궁금하다 살인인대 4년이모냐
89,때려죽여도 4년 허. 목숨의 위협을 느껴서 항거하면 쌍방폭행. 퉤
90,대한민국 법 개쓰ㅡ레기 후진국 수준만도 못한 개같은 나라 시ㅡㅡ발
91,.......법 은 누굴 위해 있는건지...죽은 사람만 불쌍하군..
92,대한민국에서 누굴 죽이고 싶다면 1.1~2년 전부터 정신병원을 다닌다. 2.평소 주변지인에게 술만 먹으면 필름이 끊어진다고 소문을 낸다 3.사건당일 cctv가 있는 술집에서 술을먹고 취한척한다. 4. 그리고 실행... 사람을 때려죽였는다 4년이라고? 미친거냐?
93,술먹고 저지른 범죄는 가중처벌 하자. 특히 폭행 성범죄는 거의 술먹고 생긴일. 가중처벌 받는다는 인식만 생겨도 범죄는 반으로 줄어들거다. 술먹었다고 더 봐주니 더 난리치는듯. 왜이렇게 술에 관대하냐.
