가소롭
각박
간절
감격
감동
감미
감사
감질
개새끼
걱정
겁
고독
고통
골치
괴롭
구질
굴욕
귀찮
그놈
그립
그자식
기겁
기막
기분좋
기쁘
기운없
기절
긴장
깜짝
꼴불견
낙심
놀라
눈물겹
느글
느끼
답답
당황
대견
덤덤
두렵
따분
뜨금
망연자실
망측
머쓱
먹먹
모욕
무료하다
무시
무시무시
보기좋
부끄
부담스럽
불만스럽
불만족
불쌍
불안
불행
비아냥
뼈저리
뿌듯
삐치
사랑
살벌
상쾌
상큼
서럽
서먹
서운
설레
섬뜩
섭섭
섹시
소름
속시원
속썩
신경질
심각
심란
심심
싸가지
씁쓸
씨부랄
씹새끼
아깝
아련
아쉽
아슬아슬
아으
아이고
아이씨
아이쿠
아차
아휴
안쓰럽
안타깝
암담
암울
앗
애잔
애틋
야박
야속
약오르
얄밉
어리둥절
어색
어이없
언짢
예쁘
외롭
우아
웃
울다
울먹
울적
울컥
움찔
웃
웬수
원망
유감스럽
유쾌
으악
으이구
윽
의심스럽
이상
이새끼
재미없
재미있
저놈
절망
절실
조마조마
좋드
죄송
죄책감
주눅
즐겁
지겹
지긋지긋
지랄
지루
질투
짜증
짠
창피
처량
처참
천만다행
철렁
초조
충격
치사
침울
쾌적
탄식
탐나
통쾌
편안
하하
행복
허무
허전
허탈
허허
헉
후련
후회
훌륭
흉측
흐뭇
흐흐
흑흑
흠칫
흥미
흥분
히히
가볍
감명깊
거슬
구차
난감
낯뜨겁
매력적
맥빠지
못마땅
민망
불편
빈정거리
스릴
싫
신선
아니꼽
아으
야비
억울
오그
우습
정떨
조바심
짜릿
쩔쩔
아하
수치
가관
가뿐
가슴아프
가슴앓
가엾
갑작
개쌍년
개자식
겁
고달프다
고맙
공포감
공허
괘씸
구역질
궁금
그년
기묘
기분나쁘
기진맥진
긴박
꺼림칙
껄껄껄
낄끼
나쁘
낙담
난처
낭만
노파심
니미
달갑
당혹
더럽
두근
따뜻
따스
만만찮
만족
못되
무섭
무안
뭉클
미안
밉
반갑
버럭
복받치다
부러워
분
불안정
비참
빌어먹
상실감
속상
슬퍼
신나
신비
실망
싫
심술
싱글벙글
쌍년
쌍놈
쓸쓸
씨부렁
아뿔싸
앗
아찔
아프다
아하하
안절부절
애도
애처롭
얼떨떨
얼씨구
역겹
옘병
외톨이
울며불며
울화통
웃
웃음거리
으쓱
으앙
자부
자책
자포자기
잔인
잡놈
저년
절규
절박
제기랄
조심스럽
증오
지끈거리
지독
징그럽
쭈뼛
찜찜
찡하다
착잡
처절
충동적
치밀어오르
친근
친숙
한스럽
한탄
후후
휑
휘둥그레
흡족
흥겹
가혹
감탄
강압
같잖
거지같
곤란
끔찍
낯간지럽
낯설
냉혹
앗
떨떠름
불쾌
신기
싱숭생숭
위축
전전긍긍
진저리
한심
경이롭
갑갑
거북
격해
경쾌
괴상
괴팍
근사
근심스럽
기상천외
기이
기절초풍
까르르
깔깔깔깔
망연
못미덥
반신반의
발칙
방긋
분
분통
뾰루퉁
쇼킹
스산
심통
쓴웃음
씩씩
아리송
애달
오싹
울부짖
울분
원통
으하하하
좌절
참담
청승맞
초라
침통
코웃음
콩닥거리
한숨짓
함박웃음
해괴
히죽거
염려
시덥잖
신물
쑥스
몸서리
뒤숭숭
가증스럽
갈증
경멸
고약
급박
기고만장
참혹
학수고대
갈등
남부끄럽
가련하
갈기갈기
감개무량
경악하
감회
겸연쩍
경박하
고리타분
구슬프
글썽글썽
기집년
남부럽다
낭패스럽
냉가슴
넌더리
달갑잖
뜨악
망막
모멸감
미친
비딱
속앓
송구하
신명나
신바람나
애석
애통
어여쁘
우라질
울상
원더풀
을씨년스럽
음울
이힛힛힛
잔혹
적적
절절
참회
카핫핫핫
통탄
희희낙락
가당찮
골칫거리
노심초사
마땅찮
뼈아프
상기되
전율
급작
각성
갈구
갈망
감흥
감복
격노
격분
격앙
곤욕
기구하
까무러치
끼득끼득
낙망
네년
네놈
노여워
멋쩍
멸시당하
방그레
방글방글
복수
분
불유쾌
비탄
비통
빙그레
사무치
새파래지
숙연
신통찮
심드렁하
심려하
쌩끗
씰룩거리
아연실색
알쏭달쏭
애끓
와들와들
으스스
절절
진노
측은
치떨리
치욕
킬킬거
탄복
질겁
초연
가고파
개운찮
계면쩍
고취되
곤혹스럽
고단
